LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-7.847011E-10,0.003660138,0.0008405259,0,0,0,0,0,0,0.02,respiracao

8.286443E-11,-0.0003865105,-8.875953E-05,0,0,0,0,0,0,0.3533334,respiracao

-1.785973E-11,8.33044E-05,1.91303E-05,0,0,0,0,0,0,0.5332239,respiracao

-4.64065E-11,0.0002164572,4.970793E-05,0,0,0,0,0,0,0.6388838,respiracao

-3.340326E-10,0.001558052,0.0003577961,0,0,0,0,0,0,0.6849332,respiracao

1.381299E-10,-0.0006442891,-0.0001479566,0,0,0,0,0,0,0.7581164,respiracao

-1.617842E-10,0.0007546215,0.0001732938,0,0,0,0,0,0,0.8079141,respiracao

-2.960631E-10,0.001380948,0.0003171254,0,0,0,0,0,0,0.8431404,respiracao

2.121806E-10,-0.000989689,-0.0002272754,0,0,0,0,0,0,0.8934115,respiracao

-2.228331E-11,0.0001039376,2.386855E-05,0,0,0,0,0,0,0.9416097,respiracao

1.615409E-10,-0.0007534867,-0.0001730331,0,0,0,0,0,0,1.123375,respiracao

-3.455475E-10,0.001611762,0.0003701303,0,0,0,0,0,0,1.172223,respiracao

4.472491E-11,-0.0002086136,-4.790671E-05,0,0,0,0,0,0,1.226127,respiracao

-2.447888E-11,0.0001141785,2.622034E-05,0,0,0,0,0,0,1.277281,respiracao

2.40315E-11,-0.0001120918,-2.574115E-05,0,0,0,0,0,0,1.331291,respiracao

-1.383921E-10,0.0006455121,0.0001482376,0,0,0,0,0,0,1.374293,respiracao

1.290489E-10,-0.0006019318,-0.0001382296,0,0,0,0,0,0,1.432027,respiracao

-1.097561E-10,0.000511943,0.0001175643,0,0,0,0,0,0,1.478746,respiracao

1.781619E-12,-8.30995E-06,-1.908375E-06,0,0,0,0,0,0,1.52561,respiracao

-1.861099E-10,0.0008680853,0.0001993501,0,0,0,0,0,0,1.562843,respiracao

1.163035E-10,-0.0005424826,-0.0001245775,0,0,0,0,0,0,1.747429,respiracao

-7.42097E-10,0.003461416,0.0007948909,0,0,0,0,0,0,1.782742,respiracao

2.482436E-10,-0.0011579,-0.000265904,0,0,0,0,0,0,1.845951,respiracao

-5.060928E-11,0.0002360606,5.42097E-05,0,0,0,0,0,0,1.901343,respiracao

-3.914895E-10,0.001826052,0.0004193406,0,0,0,0,0,0,1.935996,respiracao

5.04779E-11,-0.0002354473,-5.406886E-05,0,0,0,0,0,0,1.972505,respiracao

1.749083E-10,-0.0008158376,-0.0001873516,0,0,0,0,0,0,2.020952,respiracao

-1.834931E-10,0.0008558802,0.0001965471,0,0,0,0,0,0,2.059096,respiracao

1.690512E-11,-7.885172E-05,-1.810774E-05,0,0,0,0,0,0,2.098019,respiracao

1.98205E-10,-0.0009245022,-0.0002123057,0,0,0,0,0,0,2.162452,respiracao

8.069001,4768.132,33.82618,0,0,0,0,0,0,2.38962,respiracao

-3.873531E-10,0.002374604,2.463001E-05,0,0,0,0,0,0,2.430177,respiracao

-9.945499E-11,0.0006096919,6.323887E-06,0,0,0,0,0,0,2.465073,respiracao

1.307688E-10,-0.0008016559,-8.314986E-06,0,0,0,0,0,0,2.511121,respiracao

2.196847E-11,-0.0001346742,-1.396875E-06,0,0,0,0,0,0,2.559948,respiracao

-3.134315E-11,0.0001921439,1.992965E-06,0,0,0,0,0,0,2.605169,respiracao

1.873372E-11,-0.0001148439,-1.19119E-06,0,0,0,0,0,0,2.652584,respiracao

6.873351E-11,-0.0004213593,-4.370449E-06,0,0,0,0,0,0,2.714311,respiracao

-2.311374E-10,0.001416949,1.469697E-05,0,0,0,0,0,0,2.752303,respiracao

5.150255E-12,-3.157256E-05,-3.274796E-07,0,0,0,0,0,0,2.790627,respiracao

7.593032E-11,-0.0004654782,-4.828062E-06,0,0,0,0,0,0,2.958722,respiracao

-1725.086,18628.21,2837.757,163.4136,9.189055,55.8629,0,0,0,3.010494,respiracao

1881.117,-19811.74,-3018.442,-0.05641872,-0.01943312,-0.0006268747,0,0,0,3.059176,respiracao

-7.747563,-0.1853454,-0.005294573,-0.06709246,-0.008564996,-0.009278745,0,0,0,3.101933,respiracao

1.269408,-0.2815576,-0.1480366,-0.08236342,0.004544189,-0.006816283,0,0,0,3.155659,respiracao

-0.1865471,0.1189466,-0.2401501,-0.08511342,0.04325436,0.006511409,0,0,0,3.221274,respiracao

11.51901,-0.3392587,-0.6255121,-0.1056975,0.07762156,0.004954568,0,0,0,3.258231,respiracao

10.10769,-0.3859222,-0.5046368,-0.1248347,0.09511214,0.006793724,0,0,0,3.294167,respiracao

